ngram_type,term,score
unigram,ask,0.03616854023022745
unigram,accounts,0.03616854023022745
unigram,good,0.03616854023022745
unigram,number,0.03616854023022745
unigram,government,0.03616854023022745
unigram,health,0.03616854023022745
unigram,charity,0.03616854023022745
unigram,funeral,0.03616854023022745
unigram,gain,0.03616854023022745
unigram,say,0.03315449521104182
unigram,passwords,0.03315449521104182
unigram,believe,0.03315449521104182
unigram,federal,0.03315449521104182
unigram,immediately,0.03315449521104182
unigram,provide,0.03315449521104182
unigram,targets,0.03315449521104182
unigram,using,0.03315449521104182
unigram,action,0.03315449521104182
unigram,said,0.03315449521104182
unigram,calls,0.03315449521104182
unigram,fall,0.03315449521104182
unigram,link,0.03315449521104182
unigram,deception,0.03315449521104182
unigram,learn,0.03315449521104182
unigram,tech,0.03315449521104182
unigram,address,0.030140450191856204
unigram,study,0.030140450191856204
unigram,digital,0.030140450191856204
unigram,numbers,0.030140450191856204
unigram,fraudulent,0.030140450191856204
unigram,type,0.030140450191856204
unigram,protection,0.030140450191856204
unigram,scammed,0.030140450191856204
unigram,include,0.030140450191856204
unigram,media,0.030140450191856204
unigram,theft,0.030140450191856204
unigram,trusted,0.030140450191856204
unigram,cases,0.030140450191856204
unigram,act,0.027126405172670582
unigram,taking,0.027126405172670582
unigram,receive,0.027126405172670582
unigram,lives,0.027126405172670582
unigram,home,0.027126405172670582
unigram,encourage,0.027126405172670582
unigram,mortgage,0.027126405172670582
unigram,youre,0.027126405172670582
unigram,prevent,0.027126405172670582
unigram,delivery,0.027126405172670582
unigram,elder,0.027126405172670582
unigram,ncoa,0.027126405172670582
unigram,spam,0.027126405172670582
unigram,send,0.027126405172670582
unigram,research,0.027126405172670582
unigram,loss,0.027126405172670582
unigram,suspicious,0.027126405172670582
unigram,example,0.027126405172670582
unigram,dont,0.027126405172670582
unigram,following,0.027126405172670582
unigram,website,0.027126405172670582
unigram,ftc,0.027126405172670582
unigram,links,0.027126405172670582
unigram,usually,0.027126405172670582
unigram,app,0.027126405172670582
unigram,prevention,0.027126405172670582
unigram,types,0.027126405172670582
unigram,improve,0.024112360153484964
unigram,look,0.024112360153484964
unigram,claim,0.024112360153484964
unigram,advantage,0.024112360153484964
unigram,check,0.024112360153484964
unigram,list,0.024112360153484964
unigram,commission,0.024112360153484964
unigram,trade,0.024112360153484964
unigram,lifelock,0.024112360153484964
unigram,communication,0.024112360153484964
unigram,methods,0.024112360153484964
unigram,younger,0.024112360153484964
unigram,click,0.024112360153484964
unigram,reverse,0.024112360153484964
unigram,retirement,0.024112360153484964
unigram,irs,0.024112360153484964
unigram,services,0.024112360153484964
unigram,free,0.024112360153484964
unigram,way,0.024112360153484964
unigram,ways,0.024112360153484964
unigram,crime,0.024112360153484964
unigram,details,0.024112360153484964
unigram,attempts,0.024112360153484964
unigram,gift,0.024112360153484964
unigram,participants,0.024112360153484964
unigram,theyre,0.024112360153484964
unigram,tactics,0.024112360153484964
unigram,theyll,0.024112360153484964
unigram,aware,0.024112360153484964
unigram,artists,0.024112360153484964
unigram,recognize,0.024112360153484964
unigram,work,0.024112360153484964
unigram,fbi,0.024112360153484964
unigram,credit,0.024112360153484964
unigram,making,0.021098315134299342
unigram,directly,0.021098315134299342
unigram,reputable,0.021098315134299342
unigram,trick,0.021098315134299342
unigram,contact,0.021098315134299342
unigram,questions,0.021098315134299342
unigram,tend,0.021098315134299342
unigram,company,0.021098315134299342
unigram,lottery,0.021098315134299342
unigram,detect,0.021098315134299342
unigram,greater,0.021098315134299342
unigram,individual,0.021098315134299342
unigram,quickly,0.021098315134299342
unigram,read,0.021098315134299342
unigram,steps,0.021098315134299342
unigram,exploitation,0.021098315134299342
unigram,susceptibility,0.021098315134299342
unigram,university,0.021098315134299342
unigram,providing,0.021098315134299342
unigram,members,0.021098315134299342
unigram,right,0.021098315134299342
unigram,identify,0.021098315134299342
unigram,secure,0.021098315134299342
unigram,service,0.021098315134299342
